higher_seed,lower_seed,games,higher_seed_wins,higher_seed_win_pct
1,1,6,6,1.0
1,2,18,10,0.5555555555555556
1,3,12,10,0.8333333333333334
1,4,26,18,0.6923076923076923
1,5,18,12,0.6666666666666666
1,6,2,2,1.0
1,7,3,2,0.6666666666666666
1,8,30,23,0.7666666666666667
1,9,26,23,0.8846153846153846
1,10,3,2,0.6666666666666666
1,11,6,4,0.6666666666666666
1,12,4,4,1.0
1,13,1,1,1.0
1,16,56,54,0.9642857142857143
2,2,2,2,1.0
2,3,18,10,0.5555555555555556
2,4,2,1,0.5
2,5,4,1,0.25
2,6,7,5,0.7142857142857143
2,7,30,20,0.6666666666666666
2,8,4,0,0.0
2,9,1,0,0.0
2,10,19,15,0.7894736842105263
2,11,11,8,0.7272727272727273
2,12,1,1,1.0
2,15,56,49,0.875
3,4,4,1,0.25
3,5,1,1,1.0
3,6,22,16,0.7272727272727273
3,7,8,4,0.5
3,8,1,1,1.0
3,9,2,1,0.5
3,10,2,2,1.0
3,11,27,15,0.5555555555555556
3,14,56,48,0.8571428571428571
3,15,3,2,0.6666666666666666
4,4,1,1,1.0
4,5,29,19,0.6551724137931034
4,6,1,1,1.0
4,7,4,1,0.25
4,8,6,3,0.5
4,9,2,0,0.0
4,11,1,0,0.0
4,12,17,14,0.8235294117647058
4,13,56,44,0.7857142857142857
5,5,1,1,1.0
5,6,2,2,1.0
5,9,3,2,0.6666666666666666
5,12,56,35,0.625
5,13,8,8,1.0
6,7,2,2,1.0
6,11,56,26,0.4642857142857143
6,14,4,4,1.0
6,15,1,1,1.0
7,8,1,1,1.0
7,10,55,34,0.6181818181818182
7,11,1,0,0.0
7,15,5,1,0.2
8,9,56,29,0.5178571428571429
8,11,1,1,1.0
8,12,1,0,0.0
8,15,1,1,1.0
9,11,1,0,0.0
9,13,1,1,1.0
9,16,2,2,1.0
10,11,4,2,0.5
10,15,2,2,1.0
11,14,4,4,1.0
12,13,4,2,0.5
