year,round,region,seed_1,team_1,score_1,seed_2,team_2,score_2,winner
2010,R64,Region_1,1,Kentucky,100.0,16,ETSU,71.0,Kentucky
2010,R64,Region_1,8,Texas,80.0,9,Wake Forest,81.0,Wake Forest
2010,R64,Region_1,5,Temple,65.0,12,Cornell,78.0,Cornell
2010,R64,Region_1,4,Wisconsin,53.0,13,Wofford,49.0,Wisconsin
2010,R64,Region_1,6,Marquette,78.0,11,Washington,80.0,Washington
2010,R64,Region_1,3,New Mexico,62.0,14,Montana,57.0,New Mexico
2010,R64,Region_1,7,Clemson,78.0,10,Missouri,86.0,Missouri
2010,R64,Region_1,2,West Virginia,77.0,15,Morgan State,50.0,West Virginia
2010,R32,Region_1,1,Kentucky,90.0,9,Wake Forest,60.0,Kentucky
2010,R32,Region_1,12,Cornell,87.0,4,Wisconsin,69.0,Cornell
2010,R32,Region_1,11,Washington,82.0,3,New Mexico,64.0,Washington
2010,R32,Region_1,10,Missouri,59.0,2,West Virginia,68.0,West Virginia
2010,S16,Region_1,1,Kentucky,62.0,12,Cornell,45.0,Kentucky
2010,S16,Region_1,11,Washington,56.0,2,West Virginia,69.0,West Virginia
2010,E8,Region_1,1,Kentucky,66.0,2,West Virginia,73.0,West Virginia
2010,R64,Region_2,1,Kansas,90.0,16,Lehigh,74.0,Kansas
2010,R64,Region_2,8,UNLV,66.0,9,Northern Iowa,69.0,Northern Iowa
2010,R64,Region_2,5,Michigan State,70.0,12,New Mexico State,67.0,Michigan State
2010,R64,Region_2,4,Maryland,89.0,13,Houston,77.0,Maryland
2010,R64,Region_2,6,Tennessee,62.0,11,San Diego State,59.0,Tennessee
2010,R64,Region_2,3,Georgetown,83.0,14,Ohio,97.0,Ohio
2010,R64,Region_2,7,Oklahoma State,59.0,10,Georgia Tech,64.0,Georgia Tech
2010,R64,Region_2,2,Ohio State,68.0,15,UCSB,51.0,Ohio State
2010,R32,Region_2,1,Kansas,67.0,9,Northern Iowa,69.0,Northern Iowa
2010,R32,Region_2,5,Michigan State,85.0,4,Maryland,83.0,Michigan State
2010,R32,Region_2,6,Tennessee,83.0,14,Ohio,68.0,Tennessee
2010,R32,Region_2,10,Georgia Tech,66.0,2,Ohio State,75.0,Ohio State
2010,S16,Region_2,9,Northern Iowa,52.0,5,Michigan State,59.0,Michigan State
2010,S16,Region_2,6,Tennessee,76.0,2,Ohio State,73.0,Tennessee
2010,E8,Region_2,5,Michigan State,70.0,6,Tennessee,69.0,Michigan State
2010,R64,Region_3,1,Duke,73.0,16,Arkansas-Pine Bluff,44.0,Duke
2010,R64,Region_3,8,California,77.0,9,Louisville,62.0,California
2010,R64,Region_3,5,Texas A&M,69.0,12,Utah State,53.0,Texas A&M
2010,R64,Region_3,4,Purdue,72.0,13,Siena,64.0,Purdue
2010,R64,Region_3,6,Notre Dame,50.0,11,Old Dominion,51.0,Old Dominion
2010,R64,Region_3,3,Baylor,68.0,14,Sam Houston,59.0,Baylor
2010,R64,Region_3,7,Richmond,71.0,10,Saint Mary's,80.0,Saint Mary's
2010,R64,Region_3,2,Villanova,73.0,15,Robert Morris,70.0,Villanova
2010,R32,Region_3,1,Duke,68.0,8,California,53.0,Duke
2010,R32,Region_3,5,Texas A&M,61.0,4,Purdue,63.0,Purdue
2010,R32,Region_3,11,Old Dominion,68.0,3,Baylor,76.0,Baylor
2010,R32,Region_3,10,Saint Mary's,75.0,2,Villanova,68.0,Saint Mary's
2010,S16,Region_3,1,Duke,70.0,4,Purdue,57.0,Duke
2010,S16,Region_3,3,Baylor,72.0,10,Saint Mary's,49.0,Baylor
2010,E8,Region_3,1,Duke,78.0,3,Baylor,71.0,Duke
2010,R64,Region_4,1,Syracuse,79.0,16,Vermont,56.0,Syracuse
2010,R64,Region_4,8,Gonzaga,67.0,9,Florida State,60.0,Gonzaga
2010,R64,Region_4,5,Butler,77.0,12,UTEP,59.0,Butler
2010,R64,Region_4,4,Vanderbilt,65.0,13,Murray State,66.0,Murray State
2010,R64,Region_4,6,Xavier,65.0,11,Minnesota,54.0,Xavier
2010,R64,Region_4,3,Pitt,89.0,14,Oakland,66.0,Pitt
2010,R64,Region_4,7,BYU,99.0,10,Florida,92.0,BYU
2010,R64,Region_4,2,Kansas State,82.0,15,North Texas,62.0,Kansas State
2010,R32,Region_4,1,Syracuse,87.0,8,Gonzaga,65.0,Syracuse
2010,R32,Region_4,5,Butler,54.0,13,Murray State,52.0,Butler
2010,R32,Region_4,6,Xavier,71.0,3,Pitt,68.0,Xavier
2010,R32,Region_4,7,BYU,72.0,2,Kansas State,84.0,Kansas State
2010,S16,Region_4,1,Syracuse,59.0,5,Butler,63.0,Butler
2010,S16,Region_4,6,Xavier,96.0,2,Kansas State,101.0,Kansas State
2010,E8,Region_4,5,Butler,63.0,2,Kansas State,56.0,Butler
2010,F4,Final Four,2,West Virginia,57.0,1,Duke,78.0,Duke
2010,F4,Final Four,5,Michigan State,50.0,5,Butler,52.0,Butler
2010,Championship,Final Four,1,Duke,61.0,5,Butler,59.0,Duke
2011,R64,Region_1,1,Ohio State,75.0,16,UTSA,46.0,Ohio State
2011,R64,Region_1,8,George Mason,61.0,9,Villanova,57.0,George Mason
2011,R64,Region_1,5,West Virginia,84.0,12,Clemson,76.0,West Virginia
2011,R64,Region_1,4,Kentucky,59.0,13,Princeton,57.0,Kentucky
2011,R64,Region_1,6,Xavier,55.0,11,Marquette,66.0,Marquette
2011,R64,Region_1,3,Syracuse,77.0,14,Indiana State,60.0,Syracuse
2011,R64,Region_1,7,Washington,68.0,10,Georgia,65.0,Washington
2011,R64,Region_1,2,UNC,102.0,15,LIU,87.0,UNC
2011,R32,Region_1,1,Ohio State,98.0,8,George Mason,66.0,Ohio State
2011,R32,Region_1,5,West Virginia,63.0,4,Kentucky,71.0,Kentucky
2011,R32,Region_1,11,Marquette,66.0,3,Syracuse,62.0,Marquette
2011,R32,Region_1,7,Washington,83.0,2,UNC,86.0,UNC
2011,S16,Region_1,1,Ohio State,60.0,4,Kentucky,62.0,Kentucky
2011,S16,Region_1,11,Marquette,63.0,2,UNC,81.0,UNC
2011,E8,Region_1,4,Kentucky,76.0,2,UNC,69.0,Kentucky
2011,R64,Region_2,1,Pitt,74.0,16,UNC Asheville,51.0,Pitt
2011,R64,Region_2,8,Butler,60.0,9,Old Dominion,58.0,Butler
2011,R64,Region_2,5,Kansas State,73.0,12,Utah State,68.0,Kansas State
2011,R64,Region_2,4,Wisconsin,72.0,13,Belmont,58.0,Wisconsin
2011,R64,Region_2,6,St. John's (NY),71.0,11,Gonzaga,86.0,Gonzaga
2011,R64,Region_2,3,BYU,74.0,14,Wofford,66.0,BYU
2011,R64,Region_2,7,UCLA,78.0,10,Michigan State,76.0,UCLA
2011,R64,Region_2,2,Florida,79.0,15,UCSB,51.0,Florida
2011,R32,Region_2,1,Pitt,70.0,8,Butler,71.0,Butler
2011,R32,Region_2,5,Kansas State,65.0,4,Wisconsin,70.0,Wisconsin
2011,R32,Region_2,11,Gonzaga,67.0,3,BYU,89.0,BYU
2011,R32,Region_2,7,UCLA,65.0,2,Florida,73.0,Florida
2011,S16,Region_2,8,Butler,61.0,4,Wisconsin,54.0,Butler
2011,S16,Region_2,3,BYU,74.0,2,Florida,83.0,Florida
2011,E8,Region_2,8,Butler,74.0,2,Florida,71.0,Butler
2011,R64,Region_3,1,Kansas,72.0,16,Boston University,53.0,Kansas
2011,R64,Region_3,8,UNLV,62.0,9,Illinois,73.0,Illinois
2011,R64,Region_3,5,Vanderbilt,66.0,12,Richmond,69.0,Richmond
2011,R64,Region_3,4,Louisville,61.0,13,Morehead State,62.0,Morehead State
2011,R64,Region_3,6,Georgetown,56.0,11,VCU,74.0,VCU
2011,R64,Region_3,3,Purdue,65.0,14,St. Peter's,43.0,Purdue
2011,R64,Region_3,7,Texas A&M,50.0,10,Florida State,57.0,Florida State
2011,R64,Region_3,2,Notre Dame,69.0,15,Akron,56.0,Notre Dame
2011,R32,Region_3,1,Kansas,73.0,9,Illinois,59.0,Kansas
2011,R32,Region_3,12,Richmond,65.0,13,Morehead State,48.0,Richmond
2011,R32,Region_3,11,VCU,94.0,3,Purdue,76.0,VCU
2011,R32,Region_3,10,Florida State,71.0,2,Notre Dame,57.0,Florida State
2011,S16,Region_3,1,Kansas,77.0,12,Richmond,57.0,Kansas
2011,S16,Region_3,11,VCU,72.0,10,Florida State,71.0,VCU
2011,E8,Region_3,1,Kansas,61.0,11,VCU,71.0,VCU
2011,R64,Region_4,1,Duke,87.0,16,Hampton,45.0,Duke
2011,R64,Region_4,8,Michigan,75.0,9,Tennessee,45.0,Michigan
2011,R64,Region_4,5,Arizona,77.0,12,Memphis,75.0,Arizona
2011,R64,Region_4,4,Texas,85.0,13,Oakland,81.0,Texas
2011,R64,Region_4,6,Cincinnati,78.0,11,Missouri,63.0,Cincinnati
2011,R64,Region_4,3,UConn,81.0,14,Bucknell,52.0,UConn
2011,R64,Region_4,7,Temple,66.0,10,Penn State,64.0,Temple
2011,R64,Region_4,2,San Diego State,68.0,15,Northern Colorado,50.0,San Diego State
2011,R32,Region_4,1,Duke,73.0,8,Michigan,71.0,Duke
2011,R32,Region_4,5,Arizona,70.0,4,Texas,69.0,Arizona
2011,R32,Region_4,6,Cincinnati,58.0,3,UConn,69.0,UConn
2011,R32,Region_4,7,Temple,64.0,2,San Diego State,71.0,San Diego State
2011,S16,Region_4,1,Duke,77.0,5,Arizona,93.0,Arizona
2011,S16,Region_4,3,UConn,74.0,2,San Diego State,67.0,UConn
2011,E8,Region_4,5,Arizona,63.0,3,UConn,65.0,UConn
2011,F4,Final Four,4,Kentucky,55.0,3,UConn,56.0,UConn
2011,F4,Final Four,8,Butler,70.0,11,VCU,62.0,Butler
2011,Championship,Final Four,3,UConn,53.0,8,Butler,41.0,UConn
2012,R64,Region_1,1,Syracuse,72.0,16,UNC Asheville,65.0,Syracuse
2012,R64,Region_1,8,Kansas State,70.0,9,Southern Miss,64.0,Kansas State
2012,R64,Region_1,5,Vanderbilt,79.0,12,Harvard,70.0,Vanderbilt
2012,R64,Region_1,4,Wisconsin,73.0,13,Montana,49.0,Wisconsin
2012,R64,Region_1,6,Cincinnati,65.0,11,Texas,59.0,Cincinnati
2012,R64,Region_1,3,Florida State,66.0,14,St. Bonaventure,63.0,Florida State
2012,R64,Region_1,7,Gonzaga,77.0,10,West Virginia,54.0,Gonzaga
2012,R64,Region_1,2,Ohio State,78.0,15,Loyola (MD),59.0,Ohio State
2012,R32,Region_1,1,Syracuse,75.0,8,Kansas State,59.0,Syracuse
2012,R32,Region_1,5,Vanderbilt,57.0,4,Wisconsin,60.0,Wisconsin
2012,R32,Region_1,6,Cincinnati,62.0,3,Florida State,56.0,Cincinnati
2012,R32,Region_1,7,Gonzaga,66.0,2,Ohio State,73.0,Ohio State
2012,S16,Region_1,1,Syracuse,64.0,4,Wisconsin,63.0,Syracuse
2012,S16,Region_1,6,Cincinnati,66.0,2,Ohio State,81.0,Ohio State
2012,E8,Region_1,1,Syracuse,70.0,2,Ohio State,77.0,Ohio State
2012,R64,Region_2,1,UNC,77.0,16,Vermont,58.0,UNC
2012,R64,Region_2,8,Creighton,58.0,9,Alabama,57.0,Creighton
2012,R64,Region_2,5,Temple,44.0,12,South Florida,58.0,South Florida
2012,R64,Region_2,4,Michigan,60.0,13,Ohio,65.0,Ohio
2012,R64,Region_2,6,San Diego State,65.0,11,NC State,79.0,NC State
2012,R64,Region_2,3,Georgetown,74.0,14,Belmont,59.0,Georgetown
2012,R64,Region_2,7,Saint Mary's,69.0,10,Purdue,72.0,Purdue
2012,R64,Region_2,2,Kansas,65.0,15,Detroit Mercy,50.0,Kansas
2012,R32,Region_2,1,UNC,87.0,8,Creighton,73.0,UNC
2012,R32,Region_2,12,South Florida,56.0,13,Ohio,62.0,Ohio
2012,R32,Region_2,11,NC State,66.0,3,Georgetown,63.0,NC State
2012,R32,Region_2,10,Purdue,60.0,2,Kansas,63.0,Kansas
2012,S16,Region_2,1,UNC,73.0,13,Ohio,65.0,UNC
2012,S16,Region_2,11,NC State,57.0,2,Kansas,60.0,Kansas
2012,E8,Region_2,1,UNC,67.0,2,Kansas,80.0,Kansas
2012,R64,Region_3,1,Kentucky,81.0,16,Western Kentucky,66.0,Kentucky
2012,R64,Region_3,8,Iowa State,77.0,9,UConn,64.0,Iowa State
2012,R64,Region_3,5,Wichita State,59.0,12,VCU,62.0,VCU
2012,R64,Region_3,4,Indiana,79.0,13,New Mexico State,66.0,Indiana
2012,R64,Region_3,6,UNLV,64.0,11,Colorado,68.0,Colorado
2012,R64,Region_3,3,Baylor,68.0,14,South Dakota State,60.0,Baylor
2012,R64,Region_3,7,Notre Dame,63.0,10,Xavier,67.0,Xavier
2012,R64,Region_3,2,Duke,70.0,15,Lehigh,75.0,Lehigh
2012,R32,Region_3,1,Kentucky,87.0,8,Iowa State,71.0,Kentucky
2012,R32,Region_3,12,VCU,61.0,4,Indiana,63.0,Indiana
2012,R32,Region_3,11,Colorado,63.0,3,Baylor,80.0,Baylor
2012,R32,Region_3,10,Xavier,70.0,15,Lehigh,58.0,Xavier
2012,S16,Region_3,1,Kentucky,102.0,4,Indiana,90.0,Kentucky
2012,S16,Region_3,3,Baylor,75.0,10,Xavier,70.0,Baylor
2012,E8,Region_3,1,Kentucky,82.0,3,Baylor,70.0,Kentucky
2012,R64,Region_4,1,Michigan State,89.0,16,LIU,67.0,Michigan State
2012,R64,Region_4,8,Memphis,54.0,9,Saint Louis,61.0,Saint Louis
2012,R64,Region_4,5,New Mexico,75.0,12,Long Beach State,68.0,New Mexico
2012,R64,Region_4,4,Louisville,69.0,13,Davidson,62.0,Louisville
2012,R64,Region_4,6,Murray State,58.0,11,Colorado State,41.0,Murray State
2012,R64,Region_4,3,Marquette,88.0,14,BYU,68.0,Marquette
2012,R64,Region_4,7,Florida,71.0,10,Virginia,45.0,Florida
2012,R64,Region_4,2,Missouri,84.0,15,Norfolk State,86.0,Norfolk State
2012,R32,Region_4,1,Michigan State,65.0,9,Saint Louis,61.0,Michigan State
2012,R32,Region_4,5,New Mexico,56.0,4,Louisville,59.0,Louisville
2012,R32,Region_4,6,Murray State,53.0,3,Marquette,62.0,Marquette
2012,R32,Region_4,7,Florida,84.0,15,Norfolk State,50.0,Florida
2012,S16,Region_4,1,Michigan State,44.0,4,Louisville,57.0,Louisville
2012,S16,Region_4,3,Marquette,58.0,7,Florida,68.0,Florida
2012,E8,Region_4,4,Louisville,72.0,7,Florida,68.0,Louisville
2012,F4,Final Four,2,Ohio State,62.0,2,Kansas,64.0,Kansas
2012,F4,Final Four,1,Kentucky,69.0,4,Louisville,61.0,Kentucky
2012,Championship,Final Four,2,Kansas,59.0,1,Kentucky,67.0,Kentucky
2013,R64,Region_1,1,Indiana,83.0,16,James Madison,62.0,Indiana
2013,R64,Region_1,8,NC State,72.0,9,Temple,76.0,Temple
2013,R64,Region_1,5,UNLV,61.0,12,California,64.0,California
2013,R64,Region_1,4,Syracuse,81.0,13,Montana,34.0,Syracuse
2013,R64,Region_1,6,Butler,68.0,11,Bucknell,56.0,Butler
2013,R64,Region_1,3,Marquette,59.0,14,Davidson,58.0,Marquette
2013,R64,Region_1,7,Illinois,57.0,10,Colorado,49.0,Illinois
2013,R64,Region_1,2,Miami (FL),78.0,15,Pacific,49.0,Miami (FL)
2013,R32,Region_1,1,Indiana,58.0,9,Temple,52.0,Indiana
2013,R32,Region_1,12,California,60.0,4,Syracuse,66.0,Syracuse
2013,R32,Region_1,6,Butler,72.0,3,Marquette,74.0,Marquette
2013,R32,Region_1,7,Illinois,59.0,2,Miami (FL),63.0,Miami (FL)
2013,S16,Region_1,1,Indiana,50.0,4,Syracuse,61.0,Syracuse
2013,S16,Region_1,3,Marquette,71.0,2,Miami (FL),61.0,Marquette
2013,E8,Region_1,4,Syracuse,55.0,3,Marquette,39.0,Syracuse
2013,R64,Region_2,1,Louisville,79.0,16,North Carolina A&T,48.0,Louisville
2013,R64,Region_2,8,Colorado State,84.0,9,Missouri,72.0,Colorado State
2013,R64,Region_2,5,Oklahoma State,55.0,12,Oregon,68.0,Oregon
2013,R64,Region_2,4,Saint Louis,64.0,13,New Mexico State,44.0,Saint Louis
2013,R64,Region_2,6,Memphis,54.0,11,Saint Mary's,52.0,Memphis
2013,R64,Region_2,3,Michigan State,65.0,14,Valparaiso,54.0,Michigan State
2013,R64,Region_2,7,Creighton,67.0,10,Cincinnati,63.0,Creighton
2013,R64,Region_2,2,Duke,73.0,15,Albany (NY),61.0,Duke
2013,R32,Region_2,1,Louisville,82.0,8,Colorado State,56.0,Louisville
2013,R32,Region_2,12,Oregon,74.0,4,Saint Louis,57.0,Oregon
2013,R32,Region_2,6,Memphis,48.0,3,Michigan State,70.0,Michigan State
2013,R32,Region_2,7,Creighton,50.0,2,Duke,66.0,Duke
