strategy_name,year,total_espn_points,r64_correct,r32_correct,s16_correct,e8_correct,f4_correct,champ_correct,upsets_called,upsets_hit,timestamp
always_higher_seed,2010,780,22,8,4,1,1,0,0,0,2026-03-12T11:05:34.718505
always_higher_seed,2011,570,25,10,3,0,0,0,0,0,2026-03-12T11:05:34.730147
always_higher_seed,2012,880,22,11,5,1,1,0,0,0,2026-03-12T11:05:34.738037
always_higher_seed,2013,640,22,11,3,1,0,0,0,0,2026-03-12T11:05:34.749413
always_higher_seed,2014,680,24,10,4,1,0,0,0,0,2026-03-12T11:05:34.768699
always_higher_seed,2015,1050,27,9,5,3,1,0,0,0,2026-03-12T11:05:34.788219
always_higher_seed,2016,870,19,10,6,1,1,0,0,0,2026-03-12T11:05:34.803555
always_higher_seed,2017,980,26,12,4,2,1,0,0,0,2026-03-12T11:05:34.825508
always_higher_seed,2018,1130,23,7,3,2,1,1,1,1,2026-03-12T11:05:34.835644
always_higher_seed,2019,920,20,14,5,1,1,0,0,0,2026-03-12T11:05:34.846848
always_higher_seed,2021,840,22,7,4,2,1,0,0,0,2026-03-12T11:05:34.855253
always_higher_seed,2022,620,22,10,3,1,0,0,0,0,2026-03-12T11:05:34.865326
always_higher_seed,2023,470,25,9,1,0,0,0,0,0,2026-03-12T11:05:34.879824
always_higher_seed,2024,1210,21,12,3,2,1,1,1,1,2026-03-12T11:05:34.895221
kenpom_rank,2010,1210,25,10,5,1,1,1,7,6,2026-03-12T11:05:35.404282
kenpom_rank,2011,530,27,9,2,0,0,0,7,4,2026-03-12T11:05:35.414507
kenpom_rank,2012,1360,22,11,5,3,1,1,7,4,2026-03-12T11:05:35.423098
kenpom_rank,2013,740,22,12,5,1,0,0,5,3,2026-03-12T11:05:35.432660
kenpom_rank,2014,700,24,11,4,1,0,0,6,4,2026-03-12T11:05:35.442417
kenpom_rank,2015,1110,25,11,6,3,1,0,7,3,2026-03-12T11:05:35.450900
kenpom_rank,2016,1510,23,10,5,3,2,1,12,10,2026-03-12T11:05:35.462365
kenpom_rank,2017,970,27,11,4,2,1,0,5,2,2026-03-12T11:05:35.471578
kenpom_rank,2018,1120,24,10,3,1,1,1,6,4,2026-03-12T11:05:35.482041
kenpom_rank,2019,850,23,15,6,1,0,0,5,5,2026-03-12T11:05:35.490924
kenpom_rank,2021,880,24,8,4,2,1,0,4,2,2026-03-12T11:05:35.499310
kenpom_rank,2022,700,24,9,1,1,1,0,6,4,2026-03-12T11:05:35.509954
kenpom_rank,2023,620,24,11,2,1,0,0,5,3,2026-03-12T11:05:35.518631
kenpom_rank,2024,1250,23,13,3,2,1,1,6,5,2026-03-12T11:05:35.528717
seed_history,2010,780,22,8,4,1,1,0,4,2,2026-03-12T11:05:35.573302
seed_history,2011,590,27,10,3,0,0,0,4,3,2026-03-12T11:05:35.618007
seed_history,2012,880,22,11,5,1,1,0,4,2,2026-03-12T11:05:35.664155
seed_history,2013,620,20,11,3,1,0,0,4,1,2026-03-12T11:05:35.709319
seed_history,2014,680,24,10,4,1,0,0,4,2,2026-03-12T11:05:35.753455
seed_history,2015,1050,27,9,5,3,1,0,4,2,2026-03-12T11:05:35.796674
seed_history,2016,890,21,10,6,1,1,0,4,3,2026-03-12T11:05:35.838687
seed_history,2017,1000,28,12,4,2,1,0,4,3,2026-03-12T11:05:35.881344
seed_history,2018,1130,23,7,3,2,1,1,5,3,2026-03-12T11:05:35.921779
seed_history,2019,900,18,14,5,1,1,0,4,1,2026-03-12T11:05:35.965506
seed_history,2021,840,22,7,4,2,1,0,4,2,2026-03-12T11:05:36.008343
seed_history,2022,640,24,10,3,1,0,0,4,3,2026-03-12T11:05:36.047256
seed_history,2023,450,23,9,1,0,0,0,4,1,2026-03-12T11:05:36.088351
seed_history,2024,1230,23,12,3,2,1,1,5,4,2026-03-12T11:05:36.130495
chalk_with_upsets,2010,620,22,8,4,1,0,0,20,10,2026-03-12T11:05:36.169530
chalk_with_upsets,2011,530,21,10,3,0,0,0,19,8,2026-03-12T11:05:36.208754
chalk_with_upsets,2012,760,20,10,5,2,0,0,21,10,2026-03-12T11:05:36.243741
chalk_with_upsets,2013,480,20,8,3,0,0,0,18,7,2026-03-12T11:05:36.285531
chalk_with_upsets,2014,680,22,11,4,1,0,0,18,9,2026-03-12T11:05:36.323801
chalk_with_upsets,2015,530,17,8,5,0,0,0,19,3,2026-03-12T11:05:36.360063
chalk_with_upsets,2016,970,23,9,6,2,1,0,22,14,2026-03-12T11:05:36.401405
chalk_with_upsets,2017,580,22,10,4,0,0,0,20,7,2026-03-12T11:05:36.459438
chalk_with_upsets,2018,450,19,7,3,0,0,0,19,8,2026-03-12T11:05:36.503776
chalk_with_upsets,2019,740,26,10,5,1,0,0,18,12,2026-03-12T11:05:36.541481
chalk_with_upsets,2021,580,18,8,4,1,0,0,17,7,2026-03-12T11:05:36.580455
chalk_with_upsets,2022,720,24,10,3,2,0,0,20,11,2026-03-12T11:05:36.617950
chalk_with_upsets,2023,330,17,6,1,0,0,0,17,4,2026-03-12T11:05:36.659429
chalk_with_upsets,2024,570,23,11,3,0,0,0,19,9,2026-03-12T11:05:36.699774
composite_rank,2010,1090,21,8,4,1,1,1,1,0,2026-03-12T11:05:36.710716
composite_rank,2011,560,24,10,3,0,0,0,1,0,2026-03-12T11:05:36.718871
composite_rank,2012,1200,22,11,5,1,1,1,0,0,2026-03-12T11:05:36.728356
composite_rank,2013,670,21,11,4,1,0,0,1,0,2026-03-12T11:05:36.737376
composite_rank,2014,680,24,10,4,1,0,0,2,1,2026-03-12T11:05:36.748860
composite_rank,2015,1050,25,10,5,3,1,0,4,1,2026-03-12T11:05:36.757179
composite_rank,2016,890,21,10,6,1,1,0,2,2,2026-03-12T11:05:36.765321
composite_rank,2017,980,26,12,4,2,1,0,1,0,2026-03-12T11:05:36.773240
composite_rank,2018,1130,23,7,3,2,1,1,1,1,2026-03-12T11:05:36.781511
composite_rank,2019,770,21,14,5,1,0,0,1,1,2026-03-12T11:05:36.789538
composite_rank,2021,850,23,7,4,2,1,0,2,1,2026-03-12T11:05:36.798700
composite_rank,2022,790,23,10,3,1,1,0,2,2,2026-03-12T11:05:36.811652
composite_rank,2023,490,25,10,1,0,0,0,0,0,2026-03-12T11:05:36.819439
composite_rank,2024,1210,21,12,3,2,1,1,3,2,2026-03-12T11:05:36.828493
random_weighted,2010,1350,19,12,5,3,1,1,0,0,2026-03-12T11:06:10.225342
random_weighted,2011,1490,25,10,6,2,2,1,0,0,2026-03-12T11:06:43.624089
random_weighted,2012,1490,23,11,4,3,2,1,0,0,2026-03-12T11:07:17.054544
random_weighted,2013,1410,21,8,4,3,2,1,0,0,2026-03-12T11:07:50.414136
random_weighted,2014,1070,23,8,3,1,1,1,0,0,2026-03-12T11:08:24.106658
random_weighted,2015,1300,24,9,6,2,1,1,0,0,2026-03-12T11:08:57.017630
random_weighted,2016,1570,19,11,7,3,2,1,0,0,2026-03-12T11:09:30.270339
random_weighted,2017,1350,23,12,6,2,1,1,0,0,2026-03-12T11:10:03.207213
random_weighted,2018,1430,23,8,4,3,2,1,0,0,2026-03-12T11:10:42.216094
random_weighted,2019,1510,19,12,7,4,1,1,0,0,2026-03-12T11:11:30.486671
random_weighted,2021,1410,23,9,5,4,1,1,0,0,2026-03-12T11:12:08.727727
random_weighted,2022,1320,24,10,4,3,1,1,0,0,2026-03-12T11:12:46.019128
random_weighted,2023,1200,22,9,4,2,1,1,0,0,2026-03-12T11:14:01.629324
random_weighted,2024,1380,22,10,6,3,1,1,0,0,2026-03-12T11:14:46.208596
ml_logistic,2010,670,27,12,4,0,0,0,0,0,2026-03-12T11:26:58.575769
ml_logistic,2011,350,23,6,0,0,0,0,0,0,2026-03-12T11:26:58.627496
ml_logistic,2012,1220,22,10,4,2,1,1,0,0,2026-03-12T11:26:58.681768
ml_logistic,2013,770,25,12,3,2,0,0,0,0,2026-03-12T11:26:58.737041
ml_logistic,2014,910,25,13,6,2,0,0,0,0,2026-03-12T11:26:58.789072
ml_logistic,2015,630,25,9,3,1,0,0,0,0,2026-03-12T11:26:58.839942
ml_logistic,2016,790,23,10,3,1,1,0,0,0,2026-03-12T11:26:58.894825
ml_logistic,2017,620,28,11,3,0,0,0,0,0,2026-03-12T11:26:58.953889
ml_logistic,2018,1100,28,9,2,1,1,1,0,0,2026-03-12T11:26:59.006525
ml_logistic,2019,1330,25,14,4,2,1,1,0,0,2026-03-12T11:26:59.058631
ml_logistic,2021,550,23,8,4,0,0,0,0,0,2026-03-12T11:26:59.108654
ml_logistic,2022,860,24,11,4,1,1,0,0,0,2026-03-12T11:26:59.160176
ml_logistic,2023,430,21,7,2,0,0,0,0,0,2026-03-12T11:26:59.211448
ml_logistic,2024,540,24,9,1,1,0,0,0,0,2026-03-12T11:26:59.262277
ml_random_forest,2010,530,23,9,3,0,0,0,0,0,2026-03-12T11:27:08.105490
ml_random_forest,2011,410,25,8,0,0,0,0,0,0,2026-03-12T11:27:08.156071
ml_random_forest,2012,920,20,10,5,2,1,0,0,0,2026-03-12T11:27:08.204465
ml_random_forest,2013,590,21,11,4,0,0,0,0,0,2026-03-12T11:27:08.254456
ml_random_forest,2014,520,24,8,3,0,0,0,0,0,2026-03-12T11:27:08.305288
ml_random_forest,2015,680,26,11,3,1,0,0,0,0,2026-03-12T11:27:08.359536
ml_random_forest,2016,620,22,8,4,1,0,0,0,0,2026-03-12T11:27:08.408658
ml_random_forest,2017,730,27,11,4,1,0,0,0,0,2026-03-12T11:27:08.459165
ml_random_forest,2018,440,28,8,0,0,0,0,0,0,2026-03-12T11:27:08.509389
ml_random_forest,2019,1220,22,12,5,1,1,1,0,0,2026-03-12T11:27:08.562650
ml_random_forest,2021,410,21,6,2,0,0,0,0,0,2026-03-12T11:27:08.612998
ml_random_forest,2022,500,24,9,2,0,0,0,0,0,2026-03-12T11:27:08.663622
ml_random_forest,2023,450,23,9,1,0,0,0,0,0,2026-03-12T11:27:08.714113
ml_random_forest,2024,630,25,11,2,1,0,0,0,0,2026-03-12T11:27:08.764582
ml_gradient_boost,2010,440,24,8,1,0,0,0,0,0,2026-03-12T11:27:19.522203
ml_gradient_boost,2011,480,24,10,1,0,0,0,0,0,2026-03-12T11:27:19.570851
ml_gradient_boost,2012,410,21,8,1,0,0,0,0,0,2026-03-12T11:27:19.621318
ml_gradient_boost,2013,500,24,9,2,0,0,0,0,0,2026-03-12T11:27:19.670129
ml_gradient_boost,2014,570,25,10,3,0,0,0,0,0,2026-03-12T11:27:19.720392
ml_gradient_boost,2015,480,24,6,1,1,0,0,0,0,2026-03-12T11:27:19.770818
ml_gradient_boost,2016,580,24,9,4,0,0,0,0,0,2026-03-12T11:27:19.820933
ml_gradient_boost,2017,910,27,12,4,1,1,0,0,0,2026-03-12T11:27:19.869360
