year,avg_strategy_score,best_strategy_score,worst_strategy_score,r64_upsets,champion,champion_seed
2012,1195.3,1540,410,10,Kentucky,1
2019,1157.4,1580,480,12,Virginia,1
2018,982.6,1260,440,9,Villanova,1
2024,981.6,1310,320,11,UConn,1
2022,939.5,1380,500,10,Kansas,1
2015,937.4,1110,480,5,Duke,1
2016,892.1,1510,580,13,Villanova,2
2013,880.5,1580,480,10,Louisville,1
2010,862.1,1250,440,10,Duke,1
2021,824.2,1150,360,10,Baylor,1
2017,783.2,1020,580,6,UNC,1
2014,750.5,910,520,8,UConn,7
2023,596.8,1010,330,7,UConn,4
2011,496.3,590,350,7,UConn,3
