year,team,seed,adj_em,adj_o,adj_d,tempo,sos,barthag,wab,elite_sos,ncsos,conf_winpct
2010,Arkansas-Pine Bluff,16,-6.38,91.83,98.22,101.0,0.4031,0.315872,-7.93,0.7966,0.8337,0.7647
2010,BYU,7,23.07,117.66,94.59,116.0,0.5953,0.924837,4.09,0.7676,0.5153,0.8125
2010,Baylor,3,25.14,120.4,95.26,80.0,0.7156,0.936653,5.55,0.6529,0.4877,0.6875
2010,Butler,5,20.25,109.8,89.55,8.0,0.6562,0.912472,4.64,0.7371,0.7369,1.0
2010,California,8,22.61,120.45,97.84,268.0,0.7189,0.916146,1.72,0.6992,0.6694,0.7222
2010,Clemson,7,19.88,111.41,91.53,264.0,0.6841,0.905546,1.51,0.6895,0.4716,0.5625
2010,Cornell,12,16.14,118.04,101.9,10.0,0.4873,0.844288,2.02,0.793,0.5657,0.9286
2010,Duke,1,32.64,121.78,89.14,133.0,0.7433,0.973087,8.41,0.6563,0.5947,0.8125
2010,East Tennessee State,16,17.97,109.47,91.5,19.0,0.6946,0.88712,3.89,0.692,0.5276,0.6875
2010,Florida,10,15.18,113.34,98.15,145.0,0.6691,0.839464,-0.02,0.6986,0.5008,0.5625
2010,Florida State,9,17.23,104.51,87.29,109.0,0.6857,0.888097,2.8,0.6844,0.4852,0.625
2010,Georgetown,3,20.88,116.75,95.87,123.0,0.7405,0.906054,4.26,0.6473,0.5897,0.5556
2010,Georgia Tech,10,18.13,109.81,91.67,178.0,0.7221,0.888519,1.35,0.6553,0.4949,0.4375
2010,Gonzaga,8,17.45,112.42,94.97,41.0,0.5882,0.874272,2.57,0.7573,0.6101,0.8571
2010,Houston,13,9.58,112.53,102.96,302.0,0.618,0.735535,-6.24,0.7877,0.5585,0.4375
2010,Kansas,1,29.95,120.99,91.04,18.0,0.715,0.963427,11.7,0.6713,0.5669,0.9375
2010,Kansas State,2,24.96,116.94,91.99,65.0,0.7521,0.940511,6.74,0.6384,0.5913,0.6875
2010,Kentucky,1,26.43,115.52,89.09,35.0,0.6846,0.952034,8.68,0.7437,0.5203,0.875
2010,Lehigh,16,-0.57,105.77,106.33,155.0,0.3229,0.484608,-6.62,0.9007,0.3429,0.7143
2010,Louisville,9,16.25,114.84,98.59,189.0,0.6995,0.852513,-0.11,0.6876,0.512,0.6111
2010,Marquette,6,19.86,115.39,95.53,233.0,0.6822,0.897751,1.72,0.6792,0.4557,0.6111
2010,Maryland,4,21.57,118.3,96.72,137.0,0.6838,0.910143,3.32,0.687,0.4553,0.8125
2010,Michigan State,5,19.78,113.51,93.74,40.0,0.698,0.900362,3.51,0.6901,0.5164,0.7778
2010,Minnesota,11,19.72,114.47,94.75,331.0,0.6783,0.89797,-0.35,0.6902,0.4805,0.5
2010,Missouri,10,19.86,112.14,92.27,213.0,0.6659,0.903941,1.61,0.6879,0.4418,0.625
2010,Montana,14,4.32,105.48,101.15,113.0,0.4384,0.618093,-4.49,0.876,0.4986,0.625
