year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2012,64,Kentucky,1,81,Western Kentucky,16,66
2012,64,Iowa State,8,77,Connecticut,9,64
2012,64,VCU,12,62,Wichita State,5,59
2012,64,Indiana,4,79,New Mexico State,13,66
2012,64,Colorado,11,68,UNLV,6,64
2012,64,Baylor,3,68,South Dakota State,14,60
2012,64,Xavier,10,67,Notre Dame,7,63
2012,64,Lehigh,15,75,Duke,2,70
2012,32,Kentucky,1,87,Iowa State,8,71
2012,32,Indiana,4,63,VCU,12,61
2012,32,Baylor,3,80,Colorado,11,63
2012,32,Xavier,10,70,Lehigh,15,58
2012,16,Kentucky,1,102,Indiana,4,90
2012,16,Baylor,3,75,Xavier,10,70
2012,8,Kentucky,1,82,Baylor,3,70
2012,64,Michigan State,1,89,Long Island,16,67
2012,64,Saint Louis,9,61,Memphis,8,54
2012,64,New Mexico,5,75,Long Beach State,12,68
2012,64,,4,69,Davidson,13,62
2012,64,Murray State,6,58,Colorado State,11,41
2012,64,Marquette,3,88,BYU,14,68
2012,64,Florida,7,71,Virginia,10,45
2012,64,Norfolk State,15,86,Missouri,2,84
2012,32,Michigan State,1,65,Saint Louis,9,61
2012,32,,4,59,New Mexico,5,56
2012,32,Marquette,3,62,Murray State,6,53
2012,32,Florida,7,84,Norfolk State,15,50
2012,16,,4,57,Michigan State,1,44
2012,16,Florida,7,68,Marquette,3,58
2012,8,,4,72,Florida,7,68
2012,64,Syracuse,1,72,UNC Asheville,16,65
2012,64,Kansas State,8,70,Southern Miss,9,64
2012,64,Vanderbilt,5,79,Harvard,12,70
2012,64,Wisconsin,4,73,Montana,13,49
2012,64,Cincinnati,6,65,Texas,11,59
2012,64,Florida State,3,66,St. Bonaventure,14,63
2012,64,Gonzaga,7,77,West Virginia,10,54
2012,64,Ohio State,2,78,Loyola (MD),15,59
2012,32,Syracuse,1,75,Kansas State,8,59
2012,32,Wisconsin,4,60,Vanderbilt,5,57
2012,32,Cincinnati,6,62,Florida State,3,56
2012,32,Ohio State,2,73,Gonzaga,7,66
2012,16,Syracuse,1,64,Wisconsin,4,63
2012,16,Ohio State,2,81,Cincinnati,6,66
2012,8,Ohio State,2,77,Syracuse,1,70
2012,64,North Carolina,1,77,Vermont,16,58
2012,64,Creighton,8,58,Alabama,9,57
2012,64,South Florida,12,58,Temple,5,44
2012,64,Ohio,13,65,Michigan,4,60
2012,64,NC State,11,79,San Diego State,6,65
2012,64,Georgetown,3,74,Belmont,14,59
2012,64,Purdue,10,72,Saint Mary's,7,69
2012,64,Kansas,2,65,Detroit,15,50
2012,32,North Carolina,1,87,Creighton,8,73
2012,32,Ohio,13,62,South Florida,12,56
2012,32,NC State,11,66,Georgetown,3,63
2012,32,Kansas,2,63,Purdue,10,60
2012,16,North Carolina,1,73,Ohio,13,65
2012,16,Kansas,2,60,NC State,11,57
2012,8,Kansas,2,80,North Carolina,1,67
2012,4,Kentucky,1,69,,4,61
2012,4,Kansas,2,64,Ohio State,2,62
2012,2,Kentucky,1,67,Kansas,2,59
