year,round,game_id,team1,seed1,team2,seed2,winner,score1,score2
2010,round_of_64,2010_round_of_64_1,Lehigh,16,Kansas,1,Kansas,74,90
2010,round_of_64,2010_round_of_64_2,Northern Iowa,9,UNLV,8,Northern Iowa,69,66
2010,round_of_64,2010_round_of_64_3,Michigan State,5,New Mexico State,12,Michigan State,70,67
2010,round_of_64,2010_round_of_64_4,Maryland,4,Houston,13,Maryland,89,77
2010,round_of_64,2010_round_of_64_5,San Diego State,11,Tennessee,6,Tennessee,59,62
2010,round_of_64,2010_round_of_64_6,Georgetown,3,Ohio,14,Ohio,83,97
2010,round_of_64,2010_round_of_64_7,Oklahoma State,7,Georgia Tech,10,Georgia Tech,59,64
2010,round_of_64,2010_round_of_64_8,Ohio State,2,UC Santa Barbara,15,Ohio State,68,51
2010,round_of_32,2010_round_of_32_9,Northern Iowa,9,Kansas,1,Northern Iowa,69,67
2010,round_of_32,2010_round_of_32_10,Michigan State,5,Maryland,4,Michigan State,85,83
2010,round_of_32,2010_round_of_32_11,Tennessee,6,Ohio,14,Tennessee,83,68
2010,round_of_32,2010_round_of_32_12,Georgia Tech,10,Ohio State,2,Ohio State,66,75
2010,sweet_16,2010_sweet_16_13,Michigan State,5,Northern Iowa,9,Michigan State,59,52
2010,sweet_16,2010_sweet_16_14,Tennessee,6,Ohio State,2,Tennessee,76,73
2010,elite_8,2010_elite_8_15,Tennessee,6,Michigan State,5,Michigan State,69,70
2010,round_of_64,2010_round_of_64_16,Vermont,16,Syracuse,1,Syracuse,56,79
2010,round_of_64,2010_round_of_64_17,Gonzaga,8,Florida State,9,Gonzaga,67,60
2010,round_of_64,2010_round_of_64_18,UTEP,12,Butler,5,Butler,59,77
2010,round_of_64,2010_round_of_64_19,Vanderbilt,4,Murray State,13,Murray State,65,66
2010,round_of_64,2010_round_of_64_20,Xavier,6,Minnesota,11,Xavier,65,54
2010,round_of_64,2010_round_of_64_21,Oakland,14,Pittsburgh,3,Pittsburgh,66,89
2010,round_of_64,2010_round_of_64_22,Florida,10,BYU,7,BYU,92,99
2010,round_of_64,2010_round_of_64_23,Kansas State,2,North Texas,15,Kansas State,82,62
2010,round_of_32,2010_round_of_32_24,Syracuse,1,Gonzaga,8,Syracuse,87,65
2010,round_of_32,2010_round_of_32_25,Murray State,13,Butler,5,Butler,52,54
2010,round_of_32,2010_round_of_32_26,Xavier,6,Pittsburgh,3,Xavier,71,68
2010,round_of_32,2010_round_of_32_27,Kansas State,2,BYU,7,Kansas State,84,72
2010,sweet_16,2010_sweet_16_28,Butler,5,Syracuse,1,Butler,63,59
2010,sweet_16,2010_sweet_16_29,Xavier,6,Kansas State,2,Kansas State,96,101
2010,elite_8,2010_elite_8_30,Kansas State,2,Butler,5,Butler,56,63
2010,round_of_64,2010_round_of_64_31,East Tennessee State,16,Kentucky,1,Kentucky,71,100
2010,round_of_64,2010_round_of_64_32,Texas,8,Wake Forest,9,Wake Forest,80,81
2010,round_of_64,2010_round_of_64_33,Temple,5,Cornell,12,Cornell,65,78
2010,round_of_64,2010_round_of_64_34,Wofford,13,Wisconsin,4,Wisconsin,49,53
